iter	Passed	Remaining
0	52	52560
1	53	26685
2	54	18032
3	55	13714
4	55	11083
5	56	9348
6	57	8093
7	57	7155
8	58	6428
9	59	5847
10	59	5374
11	60	4986
12	61	4642
13	61	4358
14	62	4102
15	63	3884
16	63	3685
17	64	3515
18	65	3360
19	65	3218
20	66	3095
21	67	2980
22	67	2878
23	68	2781
24	69	2697
25	69	2618
26	70	2547
27	71	2474
28	72	2435
29	73	2377
30	74	2320
31	74	2264
32	75	2215
33	76	2166
34	76	2121
35	77	2079
36	78	2038
37	79	2001
38	79	1962
39	80	1929
40	80	1893
41	81	1863
42	82	1830
43	82	1801
44	83	1776
45	84	1749
46	85	1723
47	85	1702
48	86	1677
49	87	1659
50	88	1639
51	88	1619
52	89	1600
53	90	1583
54	91	1564
55	91	1546
56	92	1529
57	93	1513
58	93	1498
59	94	1483
60	95	1466
61	96	1453
62	97	1443
63	97	1429
64	98	1415
65	99	1404
66	100	1394
67	100	1375
68	101	1364
69	101	1353
70	102	1342
71	103	1330
72	103	1320
73	104	1309
74	105	1298
75	105	1288
76	106	1278
77	107	1269
78	108	1260
79	108	1251
80	109	1242
81	110	1234
82	111	1226
83	111	1219
84	112	1208
85	112	1200
86	113	1189
87	114	1182
88	114	1174
89	115	1167
90	116	1161
91	117	1154
92	117	1146
93	118	1140
94	119	1133
95	119	1127
96	120	1121
97	121	1114
98	121	1108
99	122	1102
100	123	1098
101	123	1088
102	124	1082
103	125	1077
104	125	1071
105	126	1065
106	126	1059
107	127	1054
108	128	1049
109	128	1042
110	129	1037
111	130	1032
112	130	1027
113	131	1023
114	132	1017
115	132	1012
116	133	1007
117	134	1002
118	134	995
119	135	990
120	135	984
121	136	979
122	136	972
123	137	968
124	137	963
125	138	959
126	138	954
127	139	948
128	139	944
129	140	940
130	141	935
131	141	931
132	142	926
133	142	922
134	143	918
135	143	914
136	144	910
137	144	905
138	145	900
139	145	896
140	146	892
141	147	888
142	147	884
143	148	881
144	148	877
145	149	873
146	150	870
147	150	866
148	151	862
149	151	859
150	152	856
151	152	853
152	153	850
153	154	847
154	154	843
155	155	840
156	156	838
157	156	835
158	157	832
159	157	829
160	158	826
161	159	823
162	159	820
163	160	819
164	161	816
165	162	814
166	162	812
167	163	809
168	164	806
169	164	803
170	165	800
171	165	797
172	166	794
173	166	791
174	167	788
175	167	786
176	168	783
177	168	780
178	169	776
179	169	773
180	170	769
181	170	766
182	170	763
183	171	760
184	171	757
185	172	754
186	172	751
187	173	748
188	173	746
189	174	743
190	174	740
191	175	738
192	175	735
193	176	732
194	176	729
195	177	727
196	177	724
197	178	721
198	178	719
199	179	716
200	179	713
201	180	711
202	180	708
203	181	706
204	181	703
205	181	701
206	182	698
207	182	696
208	183	693
209	183	691
210	184	688
211	184	686
212	185	684
213	185	681
214	186	679
215	186	677
216	186	674
217	187	672
218	187	670
219	188	667
220	188	665
221	189	663
222	189	661
223	190	659
224	190	657
225	191	655
226	191	653
227	192	651
228	192	649
229	193	647
230	193	645
231	194	643
232	194	641
233	195	639
234	195	637
235	196	635
236	196	633
237	197	632
238	198	630
239	198	628
240	199	626
241	199	624
242	199	622
243	200	620
244	200	619
245	201	617
246	201	615
247	202	613
248	202	611
249	203	609
250	203	608
251	204	606
