iter	Passed	Remaining
0	19	19556
1	20	10202
2	22	7334
3	23	5878
4	25	4979
5	27	4489
6	27	3930
7	28	3531
8	29	3216
9	29	2967
10	30	2755
11	31	2571
12	32	2449
13	32	2318
14	33	2211
15	34	2112
16	35	2027
17	35	1952
18	36	1904
19	37	1842
20	38	1781
21	38	1733
22	39	1681
23	40	1647
24	41	1605
25	41	1572
26	42	1538
27	43	1501
28	43	1470
29	44	1442
30	45	1435
31	46	1415
32	47	1391
33	48	1373
34	49	1354
35	50	1351
36	51	1338
37	52	1317
38	52	1297
39	53	1285
40	54	1271
41	55	1255
42	55	1242
43	56	1228
44	57	1212
45	57	1200
46	58	1188
47	59	1177
48	60	1166
49	60	1156
50	61	1142
51	62	1133
52	62	1123
53	63	1114
54	64	1103
55	64	1094
56	65	1084
57	66	1076
58	66	1068
59	67	1064
60	68	1058
61	69	1052
62	70	1044
63	70	1036
64	71	1028
65	72	1023
66	73	1018
67	73	1010
68	74	1007
69	75	1001
70	76	994
71	76	987
72	77	981
73	77	974
74	78	967
75	79	962
76	79	958
77	80	953
78	81	955
79	82	948
80	83	943
81	83	937
82	83	927
83	84	920
84	85	916
85	85	910
86	86	906
87	86	900
88	87	894
89	87	889
90	88	884
91	89	879
92	89	873
93	90	868
94	90	863
95	91	858
96	91	854
97	92	850
98	93	846
99	93	842
100	94	839
101	95	836
102	95	832
103	96	829
104	96	825
105	97	822
106	98	818
107	98	814
108	99	811
109	99	807
110	100	803
111	100	799
112	101	795
113	101	791
114	102	787
115	102	783
116	103	778
117	103	774
118	103	769
119	104	765
120	104	761
121	105	757
122	105	753
123	106	750
124	106	746
125	107	744
126	107	740
127	108	737
128	108	734
129	109	733
130	110	730
131	110	727
132	111	724
133	111	721
134	112	718
135	112	715
136	113	711
137	113	708
138	113	705
139	114	702
140	114	699
141	115	695
142	115	692
143	116	690
144	116	687
145	116	684
146	117	681
147	117	678
148	118	675
149	118	673
150	119	670
151	119	667
152	120	665
153	120	663
154	121	660
155	121	658
156	122	656
157	122	654
158	123	653
159	124	651
160	124	648
161	125	646
162	125	644
163	126	642
164	126	640
165	126	637
166	127	635
167	128	634
168	128	632
169	129	630
170	129	628
171	130	625
172	130	623
173	130	621
174	131	619
175	131	617
176	132	615
177	132	613
178	133	611
179	133	609
180	134	607
181	134	606
182	135	604
183	135	602
184	136	600
185	136	598
186	137	597
187	138	596
188	138	594
189	139	593
190	139	591
191	140	589
192	140	587
193	141	586
194	141	584
195	142	582
196	142	581
197	143	579
198	143	578
199	144	576
200	144	574
201	145	572
202	145	571
203	145	569
204	146	567
205	146	565
206	147	564
207	147	562
208	148	560
209	148	559
210	149	557
211	149	556
212	150	555
213	150	554
214	151	552
215	151	551
216	152	550
217	153	549
218	153	548
219	154	547
220	155	546
221	155	545
222	156	543
223	156	542
224	157	541
225	157	540
226	158	538
227	158	537
228	159	536
229	159	535
230	160	533
231	160	532
232	161	530
233	161	529
234	162	527
235	162	526
236	163	525
237	163	524
238	164	522
239	164	521
240	165	520
241	166	520
242	166	519
243	167	518
244	167	517
245	168	516
246	168	514
247	169	513
248	169	512
249	170	511
250	170	509
251	171	509
252	172	508
253	172	507
254	173	505
255	173	504
256	174	503
257	174	502
258	175	500
259	175	499
260	175	498
261	176	497
262	176	495
263	177	494
264	177	493
265	178	492
266	178	491
267	179	490
268	179	489
269	180	488
270	181	487
271	181	487
272	182	486
273	183	485
274	183	483
275	184	482
276	184	481
277	185	480
278	185	479
279	186	479
280	186	478
281	187	476
282	188	478
283	189	477
284	189	476
285	190	475
286	190	473
287	191	472
288	191	471
289	192	470
290	192	469
291	193	468
292	193	467
293	194	466
294	194	465
295	195	464
296	195	463
297	196	464
298	197	463
299	198	462
300	198	461
301	199	460
302	199	459
303	200	458
304	200	456
305	201	456
306	201	455
307	202	454
308	202	453
309	203	452
310	203	450
311	204	449
312	204	448
313	204	447
314	205	446
315	206	446
316	206	444
317	207	443
318	207	443
319	208	442
320	208	441
321	209	440
322	209	439
323	210	438
324	210	437
325	211	436
326	211	435
327	212	434
328	212	433
329	213	432
330	213	431
331	214	430
332	214	429
333	215	429
334	215	428
335	216	427
336	216	426
337	217	425
338	217	424
339	218	423
340	218	422
341	219	422
342	219	421
343	220	420
344	220	419
345	221	418
346	221	417
347	222	416
348	222	415
349	223	414
350	223	413
351	224	413
352	224	412
353	225	411
354	225	410
355	226	409
356	227	409
357	227	408
358	228	407
359	228	406
360	229	406
361	229	405
362	230	404
363	230	403
364	231	402
365	231	401
366	232	400
367	232	399
368	233	399
369	233	398
370	234	397
371	234	396
372	235	395
373	235	394
374	236	394
375	237	393
376	237	392
377	238	391
378	238	390
379	239	390
380	239	389
381	240	389
382	241	388
383	241	387
384	242	387
385	242	386
386	243	385
387	243	384
388	244	383
389	244	382
390	245	382
391	245	381
392	246	380
393	246	379
394	247	378
395	247	377
396	248	377
397	248	376
398	249	375
399	249	374
400	250	374
401	251	373
402	251	372
403	252	371
404	252	371
405	253	370
406	253	369
407	254	369
408	254	368
409	255	367
410	256	367
411	256	366
412	257	365
413	257	364
414	258	363
415	258	363
416	259	362
417	259	361
418	260	360
419	260	359
420	261	359
421	261	358
422	262	357
423	262	356
424	263	355
425	263	355
426	264	354
427	264	353
428	265	352
429	265	352
430	266	351
431	266	350
432	267	349
433	267	349
434	268	348
435	268	347
436	269	347
437	270	346
438	270	345
